                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.1196,                  1.202,                 1.2177,                0.79848,                0.79257,                0.85862,                0.59462,                 1.0702,                0.89293,                 1.2596,               0.005545,               0.005545,               0.005545
                     48,                 1.1112,                 1.1675,                  1.216,                0.81725,                0.75915,                0.84111,                0.59467,                 1.0892,                0.92301,                 1.2791,               0.005446,               0.005446,               0.005446
                     49,                 1.1283,                  1.198,                 1.2288,                0.83342,                0.74412,                0.85966,                0.58724,                 1.0878,                0.90516,                 1.2675,               0.005347,               0.005347,               0.005347
                     50,                 1.1185,                  1.181,                 1.2165,                0.86256,                0.79736,                0.87742,                0.61692,                 1.0358,                0.86168,                  1.216,               0.005248,               0.005248,               0.005248
                     51,                 1.0899,                  1.145,                 1.1977,                0.82712,                0.83671,                0.88373,                0.61064,                 1.0754,                0.81735,                 1.2499,               0.005149,               0.005149,               0.005149
                     52,                 1.0893,                  1.131,                 1.2023,                 0.8692,                0.80851,                 0.8881,                0.61622,                 1.0529,                0.86269,                 1.2391,                0.00505,                0.00505,                0.00505
                     53,                 1.1109,                  1.141,                 1.2215,                0.85456,                0.80398,                0.87377,                0.60472,                 1.0668,                0.83992,                 1.2356,               0.004951,               0.004951,               0.004951
                     54,                 1.0856,                 1.1205,                 1.1965,                0.85868,                0.81854,                0.88477,                0.60538,                 1.0491,                0.85229,                 1.2296,               0.004852,               0.004852,               0.004852
                     55,                 1.0835,                  1.099,                 1.1963,                0.87516,                0.78976,                0.88045,                0.61043,                 1.0462,                0.81887,                 1.2269,               0.004753,               0.004753,               0.004753
                     56,                 1.0765,                 1.1115,                 1.1904,                0.88897,                0.75894,                0.89089,                0.62459,                 1.0274,                0.85011,                 1.2094,               0.004654,               0.004654,               0.004654
                     57,                 1.0753,                 1.0554,                 1.1861,                0.86608,                0.80633,                0.87465,                0.61508,                 1.0314,                0.81434,                 1.2273,               0.004555,               0.004555,               0.004555
                     58,                 1.0364,                 1.0318,                 1.1777,                0.86202,                0.83657,                0.89238,                0.62369,                 1.0523,                0.82008,                 1.2313,               0.004456,               0.004456,               0.004456
                     59,                 1.0364,                 1.0196,                 1.1657,                0.88424,                 0.8033,                0.88754,                0.62358,                 1.0406,                0.80405,                 1.2357,               0.004357,               0.004357,               0.004357
