                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                  1.026,                0.97458,                 1.1731,                0.88818,                0.81624,                0.89838,                0.63559,                0.98903,                0.74591,                 1.2244,                0.00505,                0.00505,                0.00505
                     53,                0.99895,                 0.9272,                 1.1539,                0.90503,                0.83859,                0.89976,                0.65465,                 1.0007,                0.72857,                 1.2725,               0.004951,               0.004951,               0.004951
                     54,                 1.0008,                0.93887,                 1.1587,                0.82782,                0.88955,                0.90883,                0.64845,                0.99088,                0.73348,                 1.2391,               0.004852,               0.004852,               0.004852
                     55,                 0.9946,                0.90847,                 1.1382,                0.88617,                0.86228,                0.91488,                0.64003,                0.99597,                0.72633,                 1.2508,               0.004753,               0.004753,               0.004753
                     56,                0.98187,                0.89657,                 1.1513,                0.87314,                0.83489,                0.89435,                0.64457,                0.96883,                0.73704,                 1.2408,               0.004654,               0.004654,               0.004654
                     57,                0.97802,                0.87985,                 1.1434,                0.89095,                0.89206,                0.93082,                0.68084,                 0.9647,                0.68855,                 1.2084,               0.004555,               0.004555,               0.004555
                     58,                0.97137,                0.85719,                 1.1229,                0.86116,                0.89288,                0.91452,                0.65571,                0.94509,                0.69951,                 1.2091,               0.004456,               0.004456,               0.004456
                     59,                0.96794,                0.88193,                 1.1383,                0.88632,                0.87312,                0.92566,                 0.6567,                0.97779,                0.69682,                 1.2315,               0.004357,               0.004357,               0.004357
                     60,                0.98184,                0.87909,                 1.1431,                0.86824,                 0.8905,                0.92265,                0.66253,                0.95068,                0.70801,                 1.2091,               0.004258,               0.004258,               0.004258
                     61,                  0.957,                0.87826,                 1.1329,                0.92566,                0.84807,                0.91913,                0.65882,                0.96272,                0.69447,                 1.2253,               0.004159,               0.004159,               0.004159
                     62,                 0.9296,                0.84834,                 1.1142,                0.91219,                0.84806,                0.92085,                0.67292,                0.94338,                0.68201,                 1.2429,                0.00406,                0.00406,                0.00406
                     63,                0.95593,                 0.8543,                 1.1282,                 0.9087,                0.86083,                0.92092,                0.67706,                 0.9482,                0.66432,                 1.2409,               0.003961,               0.003961,               0.003961
                     64,                0.93717,                0.84373,                 1.1104,                0.87769,                0.89332,                0.92086,                 0.6769,                 0.9457,                0.66102,                  1.224,               0.003862,               0.003862,               0.003862
                     65,                0.92608,                0.81588,                 1.1143,                0.93724,                0.84862,                0.92199,                0.65857,                0.95319,                 0.6577,                 1.2273,               0.003763,               0.003763,               0.003763
                     66,                0.92235,                0.81628,                 1.1091,                 0.8962,                0.88479,                 0.9277,                 0.6734,                0.93255,                0.64318,                 1.2107,               0.003664,               0.003664,               0.003664
                     67,                0.92083,                0.79142,                 1.1102,                0.90652,                0.86919,                0.93038,                0.67064,                0.95615,                0.65687,                 1.2323,               0.003565,               0.003565,               0.003565
                     68,                0.92182,                0.80092,                 1.1131,                0.88611,                0.88413,                 0.9242,                0.68623,                0.90861,                0.63136,                 1.2013,               0.003466,               0.003466,               0.003466
                     69,                0.90727,                0.78541,                 1.0936,                0.87901,                0.88712,                0.92568,                0.68088,                  0.904,                0.64189,                 1.2025,               0.003367,               0.003367,               0.003367
                     70,                0.90226,                0.77334,                  1.096,                 0.8696,                0.88907,                0.91331,                0.68729,                0.91436,                 0.6309,                 1.1978,               0.003268,               0.003268,               0.003268
                     71,                0.90289,                0.77313,                 1.0935,                0.93317,                0.85434,                0.92754,                0.69243,                0.91535,                0.63163,                 1.2006,               0.003169,               0.003169,               0.003169
                     72,                0.89933,                0.76023,                 1.0951,                0.87961,                0.89979,                0.93156,                0.68856,                0.90665,                0.62483,                  1.206,                0.00307,                0.00307,                0.00307
                     73,                0.88718,                0.74613,                 1.0775,                0.92632,                0.87638,                0.93652,                0.68111,                0.91991,                0.60692,                 1.2158,               0.002971,               0.002971,               0.002971
                     74,                0.90005,                0.73858,                 1.0955,                0.89119,                0.89389,                 0.9253,                0.69208,                 0.9012,                0.61438,                 1.2032,               0.002872,               0.002872,               0.002872
                     75,                0.87537,                0.73215,                 1.0883,                0.91825,                0.86832,                0.92959,                0.68017,                0.91362,                0.60609,                 1.2188,               0.002773,               0.002773,               0.002773
                     76,                0.87747,                0.72913,                  1.082,                 0.8994,                 0.8994,                0.93096,                0.68847,                0.92864,                0.60927,                  1.228,               0.002674,               0.002674,               0.002674
